year,state,demVotes,gopVotes,otherVotes,totalVotes,demShareTotal,gopShareTotal,demShareTwoParty,gopShareTwoParty,differenceTotal,differenceTwoParty
2000,AL,692611,941173,32488,1666272,0.4156650294789806,0.5648375535326765,0.42393058078668905,0.5760694192133109,-0.06727974667313003,-0.07873024290677905
2004,AL,693933,1176394,13088,1883415,0.36844402322377173,0.6246068975770077,0.3710222864771775,0.6289777135228225,-0.11401083047602012,-0.11658597001020721
2008,AL,813479,1266546,19794,2099819,0.38740434294574916,0.603169130291706,0.39109097246427327,0.6089090275357267,-0.14142577451048083,-0.1457974646352097
2012,AL,795696,1255925,22717,2074338,0.3835903309875247,0.6054582232982282,0.38783771466562295,0.6121622853343771,-0.12670594848350547,-0.13174533757366852
2016,AL,729547,1318255,75570,2123372,0.3435794575797364,0.6208309236440906,0.3562585640603926,0.6437414359396074,-0.13785176740773264,-0.15487381050552296
2020,AL,849648,1441168,32488,2323304,0.36570676932506463,0.6203096968799606,0.37089316645247805,0.629106833547522,-0.14747821529174043,-0.15181405076706544
1976,AR,498604,267903,1028,767535,0.6496172812966184,0.3490433661005687,0.6504885147819915,0.34951148521800846,0.14930886725873205,0.1399843621208159
1980,AR,398041,403164,36377,837582,0.4752263062004675,0.4813427222648051,0.4968029405707653,0.5031970594292348,0.06502700310676296,0.04982543934053918
1984,AR,338646,534774,10986,884406,0.38290785001458605,0.6046702532547269,0.3877241189805592,0.6122758810194409,-0.02255535606588066,-0.020522202789785504
1988,AR,349237,466578,11923,827738,0.4219173216645847,0.563678361993771,0.42808357286884896,0.5719164271311511,-0.034579275962857925,-0.032900992671029694
1992,AR,505823,337324,107506,950653,0.5320795284925204,0.3548339930552999,0.5999226706612252,0.4000773293387749,0.10230517332657263,0.06512277761096563
1996,AR,475171,325416,83675,884262,0.5373644915194817,0.36800857664357395,0.5935282486475548,0.4064717513524451,0.045591615674856756,0.04616462276046285
2000,AR,422768,472940,26073,921781,0.4586425626043496,0.5130719769663293,0.47199310489579194,0.5280068951042081,-0.02430221354776102,-0.030667718797676158
2004,AR,469953,572898,12094,1054945,0.44547630445189085,0.5430595907843537,0.4506425174833222,0.5493574825166778,-0.036978549247901005,-0.036965739004062526
2008,AR,422310,638017,26290,1086617,0.3886465976512423,0.5871590449992959,0.3982827938928274,0.6017172061071726,-0.14018351980498767,-0.13860564320665558
2012,AR,394409,647744,27315,1069468,0.36878990301720105,0.6056693608410911,0.3784559464877038,0.6215440535122961,-0.14150637645382913,-0.14112710575158766
2016,AR,380494,684872,65269,1130635,0.33653124129360934,0.6057410216382829,0.35714862310229534,0.6428513768977047,-0.1448999836938597,-0.1539837514636202
2020,AR,423932,760647,34490,1219069,0.34775061953014963,0.6239572985614432,0.3578756672201685,0.6421243327798315,-0.16543436508665543,-0.164831549999375
1976,AZ,295602,418642,28475,742719,0.39799978188251545,0.5636613577948053,0.41386696983103816,0.5861330301689619,-0.10230863215537095,-0.0966371828301375
1980,AZ,246843,529688,97414,873945,0.28244683589928427,0.6060884838290739,0.3178791316766491,0.682120868323351,-0.1277524671944203,-0.129098369553577
1984,AZ,333854,681416,10627,1025897,0.32542643169830887,0.6642148285841561,0.3288327242999399,0.6711672757000601,-0.08003677438215784,-0.07941359747040477
1988,AZ,454029,702541,15303,1171873,0.387438741228785,0.5995026764845679,0.39256508469007495,0.607434915309925,-0.06905785639865758,-0.0684194808498037
1992,AZ,543050,572086,371839,1486975,0.3652045259671481,0.38473141781132836,0.48698096016988063,0.5130190398301194,-0.06456982919879967,-0.04781893288037892
1996,AZ,653288,622073,129044,1404405,0.4651706594607681,0.4429441649666585,0.5122377115185426,0.4877622884814574,-0.026602216383856903,-0.035125914368549394
2000,AZ,685341,781652,65023,1532016,0.4473458501738885,0.5102113816043696,0.46717400832860145,0.5328259916713985,-0.03559892597822212,-0.03548681536486664
2004,AZ,893524,1104294,14767,2012585,0.44396832928795554,0.5486943408601376,0.4472499496951174,0.5527500503048827,-0.03848652441183631,-0.04035830679226732
2008,AZ,1034707,1230111,28657,2293475,0.4511525087476428,0.5363524782262724,0.4568609928038368,0.5431390071961633,-0.0776776087085872,-0.08002744429564618
2012,AZ,1025232,1233654,40368,2299254,0.44589766941799386,0.536545331659747,0.4538661977629681,0.5461338022370319,-0.06439861005303632,-0.06571685447632336
2016,AZ,1161209,1252401,159555,2573165,0.45127654075817136,0.4867161647232105,0.481108795538633,0.518891204461367,-0.03015468422929768,-0.030023579027282532
2020,AZ,1672143,1661686,53497,3387326,0.49364690614366613,0.4905598103046474,0.5015683167912931,0.49843168320870684,-0.01953807847313893,-0.021138900428250396
1976,CA,3742284,3882244,179242,7803770,0.47954821836112543,0.4974831395594693,0.49082172693181797,0.5091782730681821,-0.020760195676760962,-0.01968242572935769
1980,CA,3082943,4522994,977001,8582938,0.35919436910764124,0.5269750288304541,0.4053337544079053,0.5946662455920947,-0.05100493398606332,-0.041643746822320804
1984,CA,3922519,5467009,115513,9505041,0.41267775699231596,0.5751694285169312,0.41775465177802334,0.5822453482219766,0.007214550911849249,0.009508330007678645
1988,CA,4702233,5054917,129915,9887065,0.4755944256460335,0.5112656789451673,0.4819268946362411,0.5180731053637588,0.01909782801859089,0.020942329096362455
1992,CA,5121325,3630574,2379822,11131721,0.46006587840280944,0.32614669375921296,0.5851672876937908,0.4148327123062092,0.030291523236861684,0.05036739464353124
1996,CA,5119835,3828381,1071253,10019469,0.5109886561852729,0.3820942008004616,0.5721626523096894,0.42783734769031057,0.019215780340647914,0.02479902642259746
2000,CA,5861203,4567429,537190,10965822,0.5344973682775446,0.41651496805255456,0.5620298999907178,0.43797010000928216,0.05155259212543395,0.059369076297249745
2004,CA,6745485,5509826,166042,12421353,0.5430555753467436,0.44357695977241773,0.5504132045282245,0.44958679547177544,0.060600721646951794,0.0628049480408398
2008,CA,8274473,5011781,275646,13561900,0.6101263834713425,0.36954858832464477,0.622784495915854,0.3772155040841459,0.08129626601511253,0.08589605881637108
2012,CA,7854285,4839958,344304,13038547,0.6023895914168964,0.371203785207048,0.6187281116329663,0.3812718883670338,0.09209331194586623,0.0991450593936748
2016,CA,8753788,4483810,943997,14181595,0.6172639960455788,0.3161710653843943,0.6612822054272989,0.3387177945727012,0.13583277105810976,0.15014983086138334
2020,CA,11109764,6005961,380181,17495906,0.6349922090345022,0.3432780788831399,0.649096897735854,0.350903102264146,0.12180722441769709,0.1263896805163105
1976,CO,460801,584278,36361,1081440,0.4260994599792869,0.5402777777777777,0.4409245616838536,0.5590754383161465,-0.07420895405859951,-0.06957959097732208
1980,CO,368009,652264,164177,1184450,0.3107003250453797,0.5506893494871037,0.36069659787135405,0.639303402128646,-0.09949897804832486,-0.08628090335887206
1984,CO,454975,821817,18588,1295380,0.3512289830011271,0.6344215596967685,0.356342301643494,0.643657698356506,-0.054234223079339616,-0.05190402012685069
1988,CO,621453,728177,22764,1372394,0.45282404324122666,0.5305888833673129,0.4604617561850285,0.5395382438149715,-0.0036725543862159427,-0.0005228093548501622
1992,CO,629681,562850,376649,1569180,0.40128028651907366,0.35869052626212417,0.5280206552282498,0.4719793447717502,-0.028494068646874093,-0.006779237822009732
1996,CO,671152,691848,147702,1510702,0.44426498409348764,0.457964575409313,0.4924079236977256,0.5075920763022744,-0.04750789175113734,-0.05495570218936635
2000,CO,738227,883748,119393,1741368,0.4239350901130605,0.507502147736722,0.45514080056720974,0.5448591994327903,-0.0590096860390501,-0.04752002312625836
2004,CO,1001732,1101255,26643,2129630,0.47037842254288303,0.5171109535459211,0.47633770441757367,0.5236622955824264,-0.012076431156908818,-0.011270552069811035
2008,CO,1288576,1073589,39196,2401361,0.5366023684069159,0.4470752210933716,0.5455063469317343,0.4544936530682658,0.0077722509506858994,0.008617909832251303
2012,CO,1323101,1185243,61172,2569516,0.5149222655161517,0.4612709163904798,0.5274798831420252,0.47252011685797485,0.004625986045121544,0.007896830902733742
2016,CO,1338870,1202484,238866,2780220,0.48156980382847403,0.4325139737143104,0.5268333337268244,0.47316666627317566,0.00013857884100498818,0.015700959160908856
2020,CO,1804352,1364607,87994,3256953,0.5540000116673468,0.4189827117554352,0.5693831949230015,0.43061680507699845,0.04081502705054174,0.046675977703457994
1976,CT,647895,719261,19199,1386355,0.46733700964038793,0.5188144450735923,0.4738998329378652,0.5261001670621348,-0.03297140439749846,-0.03660431972331046
1980,CT,541732,677210,187343,1406285,0.3852220566954778,0.4815595700729226,0.4444280367728735,0.5555719632271264,-0.024977246398226738,-0.0025494644573526015
1984,CT,569597,890877,6426,1466900,0.3882998159383734,0.6073195173495126,0.39000831236981964,0.6099916876301803,-0.017163390142093282,-0.018238009400525057
1988,CT,676584,750241,16569,1443394,0.4687451936200372,0.5197756122029051,0.4741884954356701,0.5258115045643299,0.01224859599259459,0.013203929895791444
1992,CT,682318,578313,355525,1616156,0.42218572959541034,0.35783241221763246,0.5412511670742668,0.4587488329257332,-0.007588625570537411,0.0064512740240072475
1996,CT,735740,483109,173765,1392614,0.5283158147196567,0.34690804487101234,0.6036350688231273,0.3963649311768726,0.03654293887503174,0.056271442936035365
2000,CT,816015,561094,82416,1459525,0.5590962813244035,0.384436032270773,0.5925565804885452,0.4074434195114548,0.07615150517229285,0.08989575679507711
